,Station,Latitude,Longitude
548,6079,40.74144387,-73.97536082
549,6089,40.740259,-73.984092
550,6098,40.740343,-73.989551
551,6115,40.74275382865903,-74.00747358798981
552,6122,40.741724,-73.978093
553,6128,40.74252,-73.948852
554,6131,40.742751,-73.984715
555,6137,40.742374,-73.9566
556,6140,40.74173969,-73.99415556
557,6148,40.741776,-74.001497
558,6151,40.743,-73.93561
559,6157,40.74198159994023,-74.00831580162048
560,6164,40.743115,-73.982153
561,6170,40.742327,-73.954117
562,6173,40.742868,-73.989186
563,6179,40.74336608027021,-73.95960688591003
564,6182,40.742388,-73.997262
565,6190,40.7435337324616,-74.00367558002472
566,6197,40.742909,-73.977061
567,6203,40.745247,-73.947332
568,6206,40.744449,-73.983035
569,6212,40.74436328706688,-73.9558732509613
570,6215,40.743954,-73.991449
571,6224,40.743453,-74.00004
572,6227,40.74469738,-73.93540375
573,6230,40.751581,-73.97791
574,6233,40.743349,-74.006817
575,6237,40.7437524099784,-73.94176483154297
576,6239,40.74394314,-73.97966069
577,6247,40.746647,-73.993915
578,6248,40.7451677,-73.98683077
579,6254,40.745038,-73.957539
580,6257,40.744876,-73.995298
581,6266,40.745497,-74.001971
582,6278,40.748,-73.9460927
583,6280,40.745712,-73.981948
584,6286,40.74731,-73.95451
585,6289,40.7462,-73.988557
586,6297,40.747968,-73.996637
587,6303,40.74714,-73.97113
588,6306,40.74692,-74.004519
589,6310,40.7485,-73.941275
590,6313,40.747574,-73.978801
591,6319,40.74708586,-73.94977234
592,6322,40.747659,-73.984907
593,6331,40.749156,-73.9916
594,6345,40.748033,-73.973828
595,6352,40.747182,-73.943264
596,6361,40.74966,-73.9521
597,6364,40.749012,-73.988483
598,6379,40.750019,-73.969053
599,6382,40.749717,-74.00295
600,6389,40.7494985460252,-73.97729203113158
601,6395,40.75052534,-73.94594845
602,6398,40.75038009,-73.98338988
603,6401,40.750181,-73.919998
604,6407,40.75019995,-73.99093085
605,6416,40.7500727,-73.99839279
606,6422,40.750224,-73.971214
607,6425,40.751396,-74.005226
608,6429,40.751102,-73.940737
609,6432,40.755293,-73.967641
610,6435,40.751555,-73.915026
611,6438,40.751907,-73.947912
612,6441,40.752996,-73.987216
613,6450,40.7505853470215,-73.9946848154068
614,6453,40.752443,-73.929737
615,6459,40.752694,-74.002353
616,6462,40.753599,-73.937956
617,6464,40.752554,-73.972826
618,6471,40.75326,-73.943358
619,6474,40.752269,-73.982079
620,6483,40.752149,-73.989539
621,6486,40.752372,-73.925384
622,6495,40.751869,-73.933492
623,6498,40.753231,-73.970325
624,6505,40.752474,-73.939991
625,6511,40.753441,-73.912402
626,6514,40.755243,-73.948568
627,6517,40.75492,-73.98455
628,6520,40.754139,-73.919543
629,6526,40.75461,-73.99177
630,6529,40.753111,-73.927992
631,6532,40.754557,-73.96593
632,6536,40.754176,-73.900318
633,6538,40.75473,-73.93367
634,6541,40.754601,-73.971879
635,6545,40.754164,-73.908906
636,6551,40.75500254,-73.98014437
637,6554,40.75388,-73.914952
638,6560,40.7529728216068,-73.98734897375107
639,6563,40.755733,-73.923661
640,6566,40.753702,-73.958652
641,6569,40.754145,-73.996089
642,6572,40.756513,-73.929575
643,6575,40.755293,-73.967641
644,6578,40.75594159,-74.0021163
645,6579,40.75574,-73.903427
646,6581,40.756351,-73.936515
647,6584,40.755102,-73.974986
648,6587,40.755389,-73.911517
649,6593,40.756951,-73.982631
650,6596,40.754795,-73.917014
651,6599,40.757284,-73.9536
652,6602,40.756405,-73.990026
653,6605,40.756933,-73.926223
654,6608,40.756265,-73.964179
655,6611,40.75660359,-73.9979009
656,6614,40.757186,-73.932719
657,6617,40.758281,-73.970694
658,6621,40.757357,-73.904726
659,6626,40.757246,-73.978059
660,6629,40.755763,-73.912715
661,6638,40.756913,-73.921631
662,6644,40.758985,-73.9938
663,6650,40.75797322,-73.96603308
664,6654,40.757525,-73.901614
665,6656,40.757631,-73.939122
666,6659,40.757147,-73.972078
667,6662,40.757764,-73.907654
668,6664,40.75742,-73.945133
669,6667,40.75793646243674,-73.97960275411606
670,6670,40.757728,-73.916636
671,6676,40.75929124,-73.98859651
672,6679,40.7580583,-73.9242751
673,6682,40.758923,-73.962262
674,6688,40.759628,-73.932146
675,6691,40.75934501,-73.96759673
676,6700,40.75969995906254,-73.97808194160461
677,6703,40.76072,-73.910989
678,6708,40.760683,-73.984527
679,6711,40.759058,-73.918975
680,6717,40.760192,-73.991255
681,6720,40.759604,-73.927144
682,6723,40.759125,-73.962658
683,6726,40.76030096,-73.99884222
684,6729,40.760185,-73.936272
685,6732,40.761573,-73.972628
686,6735,40.760083,-73.907107
687,6737,40.761438,-73.941127
688,6740,40.761329,-73.97982
689,6743,40.7595701,-73.9142678
690,6747,40.762272,-73.987882
691,6750,40.760339,-73.922243
692,6753,40.761227,-73.96094
693,6756,40.762009,-73.996975
694,6759,40.76108,-73.930562
695,6762,40.763126,-73.965269
696,6765,40.760875,-74.002776
697,6766,40.762507,-73.902534
698,6774,40.761294,-73.909562
699,6779,40.762288,-73.983361
700,6782,40.7611488,-73.9170071
701,6789,40.761584,-73.925921
702,6795,40.76341379,-73.99667444
703,6798,40.7628138,-73.9342862
704,6801,40.76350532,-73.97109243
705,6804,40.764496,-73.904632
706,6806,40.76315481910373,-73.93985509872437
707,6809,40.763189,-73.978434
708,6812,40.763422,-73.914142
709,6814,40.763908,-73.947721
710,6816,40.76370739,-73.9851615
711,6819,40.763154,-73.920827
712,6822,40.765005,-73.958184
713,6824,40.76269882,-73.99301222
714,6827,40.763359,-73.928647
715,6830,40.763954,-73.9646
716,6836,40.763875,-73.936484
717,6839,40.764397,-73.973715
718,6842,40.763328,-73.908782
719,6847,40.7652654,-73.98192338
720,6850,40.764174,-73.915839
721,6854,40.763604,-73.989179
722,6857,40.7647,-73.9240312
723,6860,40.764718,-73.96222
724,6865,40.7659,-73.930819
725,6873,40.76535380385866,-73.93986314535141
726,6876,40.765909,-73.976342
727,6879,40.76408932350688,-73.91065120697021
728,6887,40.765476,-73.918116
729,6889,40.766638,-73.953482
730,6890,40.76669671,-73.99061728
731,6893,40.7658346,-73.9265474
732,6896,40.767128,-73.962246
733,6901,40.7668,-73.9347774
734,6904,40.766368,-73.971518
735,6907,40.765753,-73.90676
736,6912,40.766741,-73.979069
737,6915,40.7656251,-73.9136695
738,6920,40.76584941,-73.98690506
739,6923,40.767548,-73.920933
740,6925,40.768762,-73.958407
741,6926,40.76727216,-73.99392888
742,6927,40.768442,-73.893531
743,6929,40.766824,-73.930486
744,6932,40.769157,-73.967035
745,6935,40.769219,-73.901001
746,6937,40.7671863,-73.9373554
747,6943,40.767666,-73.910963
748,6948,40.766953,-73.981693
749,6951,40.7671,-73.9169858
750,6953,40.7689738,-73.95482273
751,6955,40.768333,-73.992573
752,6958,40.768692,-73.924957
753,6960,40.768736,-73.961199
754,6964,40.76817,-73.896293
755,6966,40.7682,-73.9322662
756,6969,40.768009,-73.968453
757,6981,40.770147,-73.912093
758,6989,40.7699176,-73.9184057
759,6991,40.77112927,-73.95772297
760,6994,40.768728,-73.890745
761,6996,40.770374,-73.928607
762,6998,40.771182,-73.964094
763,7003,40.769247,-73.93545
764,7009,40.771394,-73.907744
765,7018,40.771153,-73.917007
766,7020,40.771404,-73.953516
767,7023,40.770513,-73.988038
768,7026,40.771362,-73.924615
769,7028,40.769942,-73.960607
770,7032,40.77028,-73.893675
771,7039,40.771203,-73.903865
772,7047,40.773015,-73.91119
773,7049,40.77246,-73.94682
774,7052,40.77163851,-73.98261428
775,7057,40.772797,-73.955778
776,7059,40.771497,-73.99046
777,7060,40.770888,-73.889914
778,7062,40.772768,-73.927436
779,7066,40.772899,-73.896849
780,7068,40.7725996921817,-73.93266275525093
781,7074,40.772717,-73.906127
782,7079,40.773407,-73.977825
783,7082,40.77406,-73.914935
784,7084,40.7728384,-73.94989233
785,7092,40.773142,-73.958562
786,7098,40.773983,-73.930913
787,7100,40.808442,-73.945208
788,7111,40.774306,-73.908335
789,7113,40.775186,-73.944461
790,7116,40.77492513,-73.98266566
791,7119,40.7729,-73.916142
792,7121,40.774779,-73.954275
793,7123,40.775159,-73.989186
794,7126,40.774645,-73.923706
795,7128,40.773763,-73.962221
796,7132,40.77485,-73.9342
797,7137,40.774798,-73.903787
798,7141,40.775794,-73.976206
799,7144,40.774788,-73.912555
800,7146,40.77536905,-73.94803392
801,7149,40.774667,-73.984705
802,7152,40.774591,-73.918544
803,7154,40.77573,-73.956753
804,7159,40.7767,-73.927631
805,7161,40.776321,-73.964273
806,7163,40.775415,-73.900063
807,7170,40.776745,-73.906558
808,7175,40.777058,-73.978985
809,7178,40.776165,-73.915318
810,7180,40.77565541,-73.95068615
811,7183,40.777507,-73.988885
812,7186,40.777455,-73.92254
813,7188,40.776777,-73.959009
814,7196,40.777112,-73.902382
815,7202,40.77813,-73.90842
816,7204,40.777945,-73.946041
817,7207,40.77748046,-73.98288594
818,7210,40.778557,-73.919046
819,7212,40.778012,-73.954071
820,7220,40.778089,-73.899558
821,7226,40.779399,-73.905708
822,7230,40.778567,-73.97755
823,7233,40.7787185,-73.9145645
824,7235,40.778301,-73.948813
825,7243,40.778626,-73.95772
826,7253,40.77896784,-73.97374737
827,7260,40.779668,-73.98093
828,7265,40.780628,-73.952166
829,7271,40.77977,-73.923162
830,7281,40.7801839724239,-73.97728532552719
831,7284,40.780478,-73.912212
832,7286,40.781122,-73.949655
833,7288,40.780577,-73.985624
834,7291,40.78145,-73.9183302
835,7293,40.781410700190015,-73.95595908164978
836,7304,40.78275,-73.97137
837,7311,40.782535,-73.979085
838,7314,40.782465,-73.914527
839,7323,40.782323,-73.959875
840,7327,40.78294,-73.93077
841,7338,40.783964,-73.947167
