FID,BoroCode,BoroName,CountyFIPS,CDTA2020,CDTAName,CDTAType,Shape_Leng,Shape_Area,FID_1,station_id,name,lat,lon,capacity
23,2,Bronx,005,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),0,35802.291373400003067,57832744.975500002503395,23,217,Old Fulton St,40.702771589999998,-73.993836049999999,39
24,2,Bronx,005,BX05,BX05 Morris Heights-Mount Hope (CD 5 Approximation),0,31502.252258000000438,39702018.949699997901917,24,223,W 13 St & 7 Ave,40.737815089999998,-73.999946609999995,33
25,2,Bronx,005,BX06,BX06 Tremont-Belmont-West Farms (CD 6 Approximation),0,42556.085602899998776,43925329.788099996745586,25,224,Spruce St & Nassau St,40.711463639999998,-74.005524269999995,34
26,2,Bronx,005,BX07,BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation),0,49740.755289000000630,58591938.636900000274181,26,228,E 48 St & 3 Ave,40.754601102599999,-73.971878855000000,55
27,2,Bronx,005,BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),0,50395.645578299998306,86262438.491500005125999,27,229,Great Jones St,40.727434230000000,-73.993790250000004,23
28,2,Bronx,005,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),0,70725.218687999993563,112408418.089000001549721,28,232,Cadman Plaza E & Tillary St,40.695976829999999,-73.990148919999996,52
29,2,Bronx,005,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),0,257953.679533999995328,172885098.891000002622604,29,236,St Marks Pl & 2 Ave,40.728418599999998,-73.987139560000003,51
30,2,Bronx,005,BX11,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),0,52408.015285000001313,101431640.047999992966652,30,238,Bank St & Washington St,40.736196700000001,-74.008592070000006,31
31,2,Bronx,005,BX12,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),0,84041.609276200004388,150170742.247999995946884,31,239,Willoughby St & Fleet St,40.691965660000001,-73.981301799999997,62
32,2,Bronx,005,BX26,BX26 Van Cortlandt Park (JIA 26 Equivalent),1,32859.705755599999975,50659546.693999998271465,32,241,DeKalb Ave & S Portland Ave,40.689810350000002,-73.974931209999994,23
33,2,Bronx,005,BX27,BX27 Bronx Park (JIA 27 Approximation),1,32834.648133199996664,33458594.027800001204014,33,242,Carlton Ave & Flushing Ave,40.697786999999998,-73.973736000000002,46
34,2,Bronx,005,BX28,BX28 Pelham Bay Park (JIA 28 Approximation),1,111114.689821000007214,99256014.514899998903275,34,244,Willoughby Ave & Hall St,40.691960350000002,-73.965368510000005,51
35,1,Manhattan,061,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),0,96261.651312600006349,44827701.831900000572205,35,245,Myrtle Ave & St Edwards St,40.693270179999999,-73.977038739999998,56
