,external_id,legacy_id,lon,lat,short_name,eightd_has_key_dispenser,name,capacity,has_kiosk,eightd_station_services,station_type,rental_methods,station_id,electric_bike_surcharge_waiver,region_id,rental_uris.ios,rental_uris.android
1028,5adcaaaf-5386-441d-827c-8d65c4f4405e,4057,-73.937044,40.839443,8206.17,False,Amsterdam Ave & W 167 St,23,True,[],classic,"['CREDITCARD', 'KEY']",4057,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1029,821b19c1-ab13-4482-9580-770288a377a7,4058,-73.97513,40.75863,6659.09,False,Madison Av & E 51 St,41,True,[],classic,"['CREDITCARD', 'KEY']",4058,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1030,d73e26de-8534-4b46-a321-3cae295ef9b2,4059,-73.938631,40.842941,8262.07,False,W 171 St & St. Nicholas Ave,31,True,[],classic,"['CREDITCARD', 'KEY']",4059,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1031,3c73cc9f-3c09-4ac4-a4ea-22b4f027bf23,4060,-73.935111,40.842173,8242.04,False,Amsterdam Ave & W 172 St,23,True,[],classic,"['CREDITCARD', 'KEY']",4060,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1032,6b60bf55-3da4-439a-bde1-fc80be8623ba,4061,-73.940493,40.84522,8320.01,False,Fort Washington Ave & W 173 St,24,True,[],classic,"['CREDITCARD', 'KEY']",4061,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1033,18a2cbb6-91f2-4393-82fb-b40a8ba90f20,4062,-73.933651,40.844044,8278.05,False,Amsterdam Ave & W 175 St,23,True,[],classic,"['CREDITCARD', 'KEY']",4062,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1034,3bf69f3e-23f6-4abe-b5fe-dabe6b0ea066,4063,-73.937648,40.846052,8299.03,False,Wadsworth Ave & W 175 St,24,True,[],classic,"['CREDITCARD', 'KEY']",4063,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1035,4d674595-187c-417c-a691-676c4446c9fc,4064,-73.90809774398804,40.807347437082,7719.13,False,Southern Blvd & E 142 St,23,True,[],classic,"['CREDITCARD', 'KEY']",4064,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1036,774c5443-d463-42b3-bfc5-b0ab3c56fe35,4065,-73.936064,40.848467,8336.02,False,Wadsworth Ave & W 179 St,35,True,[],classic,"['CREDITCARD', 'KEY']",4065,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1037,08b9c491-a589-4e75-996c-2455c26fb356,4066,-73.933291,40.847305,8316.02,False,Audobon Ave & W 179 St,23,True,[],classic,"['CREDITCARD', 'KEY']",4066,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1038,ceb179f3-89c3-4c3e-8a0a-3415406a9463,4067,-73.931205,40.847396,8353.02,False,Amsterdam Ave & W 180 St,23,True,[],classic,"['CREDITCARD', 'KEY']",4067,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1039,c9c09ed0-0a52-4d6a-a999-b0848874e51f,4068,-73.937854,40.852252,8399.06,False,Fort Washington Ave & W 183 St,30,True,[],classic,"['CREDITCARD', 'KEY']",4068,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1040,61bc2467-aa8c-4386-ba9e-3f01120bd6b8,4069,-73.941343,40.848282,8358.10,False,Cabrini Blvd & W 177 St,24,True,[],classic,"['CREDITCARD', 'KEY']",4069,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1041,2436e886-dc53-47cb-8733-d663f9dcd922,4070,-73.938423,40.849972,8358.03,False,W 180 St & Ft Washington Ave,0,True,[],classic,"['CREDITCARD', 'KEY']",4070,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1042,344b52b0-73a9-4fe3-9132-23d0502dc0ae,4071,-73.9434,40.835775,8157.06,False,Broadway & W 160 St,22,True,[],classic,"['CREDITCARD', 'KEY']",4071,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
